x	-40	-39	-38	-37	-36	-35	-34	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
1.000000000000e-03	5.242140029427e+111	5.453273453984e+108	5.678972048292e+105	5.920682576613e+102	6.180041987073e+99	6.458908890868e+96	6.759401391052e+93	7.083942786252e+90	7.435317103684e+87	7.816736984481e+84	8.231927204395e+81	8.685228138399e+78	9.181724874845e+75	9.727409608497e+72	1.032938762040e+70	1.099614092780e+67	1.173786907802e+64	1.256693436601e+61	1.349845023300e+58	1.455106876069e+55	1.574804929062e+52	1.711873074520e+49	1.870059456517e+46	2.054220976547e+43	2.270752625247e+40	2.528228307234e+37	2.838383328274e+34	3.217667717593e+31	3.689791086538e+28	4.290069907693e+25	5.073232964102e+22	6.128309010441e+19	7.609236805401e+16	9.804153521059e+13	1.331371503286e+11	1.960165989059e+08	3.325517008086e+05	7.783583040033e+02	6.021306508655e+00	1.099969744003e+00	1.232469749136e+00	1.989832685302e+00	3.407878299007e+00	5.894351519820e+00	1.027297635635e+01	1.930650999737e+01	6.735086543033e+01	8.753755287395e+02	1.849016809258e+04	4.117624672319e+05	9.208539788188e+06	2.060048542871e+08	4.608665485649e+09	1.031035868411e+11	2.306600744426e+12	5.160254090063e+13	1.154435693420e+15	2.582666952199e+16	5.777860667371e+17	1.292604679947e+19	2.891774230653e+20	6.469385675913e+21	1.447310463593e+23	3.237877107596e+24	7.243676065099e+25	1.620532255934e+27	3.625403412468e+28	8.110637634644e+29	1.814486151094e+31	4.059310920818e+32	9.081361762911e+33	2.031653477094e+35	4.545150781071e+36	1.016826730325e+38	2.274812540454e+39	5.089138532534e+40	1.138525946325e+42	2.547074170153e+43	5.698233623223e+44	1.274790769948e+46	2.851921515680e+47
1.000999000000e+00	1.784392870721e-03	1.856111809323e-03	1.932659838740e-03	2.014502850084e-03	2.102166047488e-03	2.196243432747e-03	2.297409133724e-03	2.406431002340e-03	2.524187022734e-03	2.651685220759e-03	2.790087964823e-03	2.940741813086e-03	3.105214418208e-03	3.285340484223e-03	3.483279432605e-03	3.701588352582e-03	3.943315097220e-03	4.212118212152e-03	4.512423008219e-03	4.849626916637e-03	5.230372933524e-03	5.662918496359e-03	6.157640223424e-03	6.727735417013e-03	7.390213942777e-03	8.167327624455e-03	9.088674194355e-03	1.019436824892e-02	1.153994904249e-02	1.320420801252e-02	1.530210651294e-02	1.800694224751e-02	2.159013164061e-02	2.649640678309e-02	3.349476103882e-02	4.400336087184e-02	6.084787487067e-02	9.020416086184e-02	1.471304767219e-01	2.732917133353e-01	6.014902870398e-01	1.624421757194e+00	5.477371260238e+00	2.293102797112e+01	1.166608691633e+02	7.034550145316e+02	4.931931201326e+03	3.974438717410e+04	3.647711417966e+05	3.757907289345e+06	4.250966363077e+07	5.151892296010e+08	6.553536608537e+09	8.642496721950e+10	1.178827922430e+12	1.679108518924e+13	2.556538221471e+14	4.304543999379e+15	8.253726301938e+16	1.808113751207e+18	4.407520193379e+19	1.151994439892e+21	3.132320906478e+22	8.694009779416e+23	2.437946128929e+25	6.870584751414e+26	1.940910210826e+28	5.489287701817e+29	1.553333370500e+31	4.396700707570e+32	1.244638616950e+34	3.523591079339e+35	9.975627895862e+36	2.824238990875e+38	7.995894871061e+39	2.263801832355e+41	6.409468558536e+42	1.814834251897e+44	5.139663510086e+45	1.456305217353e+47	4.131947351583e+48
2.000998000000e+00	2.341690073348e-15	4.864227890832e-15	1.011374885206e-14	2.104969117902e-14	4.385689572374e-14	9.147740542072e-14	1.910297021795e-13	3.994190365038e-13	8.362377382430e-13	1.753231332676e-12	3.681254187533e-12	7.741800179966e-12	1.630889041659e-11	3.441872638416e-11	7.277970691377e-11	1.542178144598e-10	3.275205278705e-10	6.972713541540e-10	1.488380637357e-09	3.186224562949e-09	6.842330554965e-09	1.474444943906e-08	3.189341982929e-08	6.927818376527e-08	1.511883742467e-07	3.316696265748e-07	7.318818472414e-07	1.625778568312e-06	3.638925603928e-06	8.216197234632e-06	1.873972952627e-05	4.325231891360e-05	1.012434751897e-04	2.410248427634e-04	5.857098073927e-04	1.459869712352e-03	3.755939556294e-03	1.005931897897e-02	2.836066640195e-02	8.539366184202e-02	2.795042917748e-01	1.014485277653e+00	4.162689248376e+00	1.959428138177e+01	1.065075013866e+02	6.672315813050e+02	4.779506735640e+03	3.875583001207e+04	3.523701541780e+05	3.561121991644e+06	3.963290062724e+07	4.803483773627e+08	6.261565558492e+09	8.680006086351e+10	1.270355800145e+12	1.961157791648e+13	3.213384568353e+14	5.652149151545e+15	1.079307108986e+17	2.246304265441e+18	5.058347494707e+19	1.212972910842e+21	3.041587232609e+22	7.852614967781e+23	2.064120556380e+25	5.484074684220e+26	1.466192310538e+28	3.934358760079e+29	1.058125577194e+31	2.850394597353e+32	7.690981859027e+33	2.080210736154e+35	5.651599891386e+36	1.549154052978e+38	4.322557984725e+39	1.248390583005e+41	3.836412899701e+42	1.300922110874e+44	5.016760211561e+45	2.206937123826e+47	1.078583286545e+49
3.000997000000e+00	1.698989105425e-22	5.287812011080e-22	1.647226431175e-21	5.136204245230e-21	1.603113582312e-20	5.008899947862e-20	1.566756049101e-19	4.906461012871e-19	1.538411728204e-18	4.829987100246e-18	1.518529817144e-17	4.781263860721e-17	1.507807452792e-16	4.762980085754e-16	1.507273298889e-15	4.779050942799e-15	1.518413191082e-14	4.835109190829e-14	1.543363401340e-13	4.939270854436e-13	1.585216283469e-12	5.103365376035e-12	1.648519813386e-11	5.344983857123e-11	1.740126276760e-10	5.691035885291e-10	1.870701509995e-09	6.184240604082e-09	2.057558070269e-08	6.895693650077e-08	2.330328899289e-07	7.950985069150e-07	2.743250669699e-06	9.589351807136e-06	3.404405890769e-05	1.231249859206e-04	4.553944932015e-04	1.731073602429e-03	6.805647427927e-03	2.789384586163e-02	1.203654748539e-01	5.532344509548e-01	2.743710979633e+00	1.487312037647e+01	8.910837276252e+01	5.944554631887e+02	4.428220180801e+03	3.677779604725e+04	3.389400920359e+05	3.442811031523e+06	3.825052009958e+07	4.613738795830e+08	6.004844079252e+09	8.400668094247e+10	1.261377215107e+12	2.032177527306e+13	3.508329465169e+14	6.462503937156e+15	1.260310357702e+17	2.576093081433e+18	5.462830533149e+19	1.191651877042e+21	2.658863111281e+22	6.054987713306e+23	1.409973160506e+25	3.379303847271e+26	8.433118913438e+27	2.225609178164e+29	6.309293860690e+30	1.938886621060e+32	6.444201012647e+33	2.287210627395e+35	8.520763421521e+36	3.278971392669e+38	1.287731749077e+40	5.119377243225e+41	2.049813421601e+43	8.241426722932e+44	3.321346816639e+46	1.340319741714e+48	5.412938200824e+49
4.000996000000e+00	1.080674642449e-27	4.480093511771e-27	1.858878433935e-26	7.719780230561e-26	3.208991272825e-25	1.335250980184e-24	5.561741853198e-24	2.319193175365e-23	9.682062053405e-23	4.046994155661e-22	1.693801619954e-21	7.098916566949e-21	2.979604736731e-20	1.252573952453e-19	5.274379370654e-19	2.224909472735e-18	9.403321245654e-18	3.982346798909e-17	1.690260115416e-16	7.191183331076e-16	3.067357318481e-15	1.312021842894e-14	5.629092710918e-14	2.423142720241e-13	1.046894231356e-12	4.541198180724e-12	1.978642369021e-11	8.663803128313e-11	3.814571480723e-10	1.689953377229e-09	7.539560822750e-09	3.390613085817e-08	1.538773524675e-07	7.057416794002e-07	3.276701820696e-06	1.543353083829e-05	7.393769415120e-05	3.614508018724e-04	1.810379464554e-03	9.336870174362e-03	4.988955075697e-02	2.782238525074e-01	1.633301550380e+00	1.018838696912e+01	6.818055933649e+01	4.937463695230e+02	3.895280563814e+03	3.360736100875e+04	3.173529010907e+05	3.274312146671e+06	3.679018859616e+07	4.483608196525e+08	5.901141589717e+09	8.349431251171e+10	1.263485117518e+12	2.033519865772e+13	3.461688552372e+14	6.204712457608e+15	1.168032326703e+17	2.309534697577e+18	4.808385503400e+19	1.057833942737e+21	2.465209731729e+22	6.081380016191e+23	1.580477441531e+25	4.292711090365e+26	1.207165883289e+28	3.483670228549e+29	1.024158363643e+31	3.050844887264e+32	9.176395944390e+33	2.781936454269e+35	8.499759738486e+36	2.622116752403e+38	8.203037583796e+39	2.622614581226e+41	8.671774908966e+42	3.012791730528e+44	1.118499904997e+46	4.490608360686e+47	1.952204047623e+49
5.000995000000e+00	7.982527354628e-32	4.132808921826e-31	2.141428220765e-30	1.110533989821e-29	5.764324303934e-29	2.994832926941e-28	1.557490261365e-27	8.108288025142e-27	4.225795039351e-26	2.204902927540e-25	1.151863134312e-24	6.025230971513e-24	3.156034677213e-23	1.655548907802e-22	8.697909329263e-22	4.577250916320e-21	2.413016984754e-20	1.274487995418e-19	6.745132809591e-19	3.577593012256e-18	1.902001793216e-17	1.013755291969e-16	5.418142379407e-16	2.904473819696e-15	1.562078654361e-14	8.431244439393e-14	4.568652948785e-13	2.486393151819e-12	1.359695539393e-11	7.475533917119e-11	4.134759859025e-10	2.302470549846e-09	1.291999398296e-08	7.313383899772e-08	4.181366262312e-07	2.418426138741e-06	1.417674048318e-05	8.441912071564e-05	5.120793389674e-04	3.174996834978e-03	2.020471280133e-02	1.326230306382e-01	9.031880041190e-01	6.424326106157e+00	4.807645457456e+01	3.813637819108e+02	3.229248921191e+03	2.936033358732e+04	2.877904359589e+05	3.047040789134e+06	3.484130527500e+07	4.294599376890e+08	5.689760410614e+09	8.075296955708e+10	1.223845135188e+12	1.975130459183e+13	3.386240814795e+14	6.151958071814e+15	1.180687769985e+17	2.384106749300e+18	5.040640371136e+19	1.110339311201e+21	2.537571132329e+22	6.001970189905e+23	1.469034958346e+25	3.730068353816e+26	9.871666465426e+27	2.738478692686e+29	7.999480088076e+30	2.464046941456e+32	7.980096283317e+33	2.699337798059e+35	9.455104154584e+36	3.400030986422e+38	1.245869884393e+40	4.625107335283e+41	1.732257674945e+43	6.526846361156e+44	2.469445411220e+46	9.372430993026e+47	3.567040916031e+49
6.000994000000e+00	2.782165552506e-35	1.727022043144e-34	1.072874647331e-33	6.670400054769e-33	4.150718537405e-32	2.585122380477e-31	1.611552987999e-30	1.005621216956e-29	6.281638271762e-29	3.928114652316e-28	2.459201775240e-27	1.541456140998e-26	9.674439937606e-26	6.080110983185e-25	3.826701526936e-24	2.412153173879e-23	1.522986385655e-22	9.632654307795e-22	6.103903024062e-21	3.875604421950e-20	2.466075004588e-19	1.572824671331e-18	1.005639062761e-17	6.447362442717e-17	4.145737654928e-16	2.674337295252e-15	1.731232951652e-14	1.125041056168e-13	7.342178461134e-13	4.814166356363e-12	3.173098207689e-11	2.103661706444e-10	1.403804848379e-09	9.437107367548e-09	6.397371646030e-08	4.378296181306e-07	3.029418723363e-06	2.122733636132e-05	1.509362320830e-04	1.091722960567e-03	8.056102376701e-03	6.086275835541e-02	4.727040769272e-01	3.792486587849e+00	3.160186147367e+01	2.751170506290e+02	2.517561003585e+03	2.435762867395e+04	2.504331886750e+05	2.746837310686e+06	3.221701981796e+07	4.043881272273e+08	5.428937322643e+09	7.782091968456e+10	1.188134014403e+12	1.926422464740e+13	3.307100240733e+14	5.994735398191e+15	1.144967680763e+17	2.300877631129e+18	4.860291586670e+19	1.078163833378e+21	2.507608698002e+22	6.098037114624e+23	1.544383331102e+25	4.054085116452e+26	1.097790157217e+28	3.054062121405e+29	8.706442021333e+30	2.541762899022e+32	7.611785370615e+33	2.347731807689e+35	7.502914750432e+36	2.501565668471e+38	8.752534948456e+39	3.222453651015e+41	1.246417158456e+43	5.036189724684e+44	2.108651204606e+46	9.071652418160e+47	3.979951767751e+49
7.000993000000e+00	2.829682540921e-38	2.047621184750e-37	1.482797605520e-36	1.074605317283e-35	7.794108012166e-35	5.657841090004e-34	4.110737219746e-33	2.989457528760e-32	2.176152139805e-31	1.585741478104e-30	1.156766213590e-29	8.448013973978e-29	6.177138657918e-28	4.522452684289e-27	3.315488884053e-26	2.434130472125e-25	1.789789904552e-24	1.318150821005e-23	9.724787989460e-23	7.187851079086e-22	5.323278722074e-21	3.950790771535e-20	2.938895066275e-19	2.191583320078e-18	1.638678357223e-17	1.228825022547e-16	9.243965267313e-16	6.977896027367e-15	5.287273999949e-14	4.022941808000e-13	3.075018748915e-12	2.362435079668e-11	1.825282945618e-10	1.419219906478e-09	1.111369769379e-08	8.773168487870e-08	6.988996866436e-07	5.625901420825e-06	4.583018923028e-05	3.785147918832e-04	3.176326023560e-03	2.715145562607e-02	2.371384945764e-01	2.123668505675e+00	1.957982718317e+01	1.866990354692e+02	1.850221504811e+03	1.915423471793e+04	2.081698666852e+05	2.385708088284e+06	2.893496734169e+07	3.723116294530e+08	5.088751845055e+09	7.389068443695e+10	1.138925399758e+12	1.860739232085e+13	3.215913926358e+14	5.865946385794e+15	1.126326843041e+17	2.270530665210e+18	4.793470117144e+19	1.057716896354e+21	2.436384440890e+22	5.855818024923e+23	1.468752350754e+25	3.845008651651e+26	1.050077069911e+28	2.986624653110e+29	8.819122804845e+30	2.692226228499e+32	8.456014285020e+33	2.720145433825e+35	8.927697301451e+36	2.981926554855e+38	1.012590479585e+40	3.498715211959e+41	1.233546048829e+43	4.459752266657e+44	1.664503841789e+46	6.461741009537e+47	2.626600567516e+49
8.000992000000e+00	6.304066071448e-41	5.209468409392e-40	4.307960739733e-39	3.565079440671e-38	2.952570017387e-37	2.447259766203e-36	2.030136459104e-35	1.685595186726e-34	1.400822490187e-33	1.165292607507e-32	9.703553003136e-32	8.088985073922e-31	6.750721531264e-30	5.640619509080e-29	4.719040898005e-28	3.953333631832e-27	3.316586607280e-26	2.786608568705e-25	2.345090362978e-24	1.976917376772e-23	1.669605016450e-22	1.412835030368e-21	1.198074508869e-20	1.018262694990e-19	8.675534346935e-19	7.411032998462e-18	6.348972205725e-17	5.456049396573e-16	4.704628106333e-15	4.071764523242e-14	3.538405863982e-13	3.088730542411e-12	2.709605629251e-11	2.390141706526e-10	2.121329101516e-09	1.895742827095e-08	1.707306542390e-07	1.551108682874e-06	1.423266846450e-05	1.320839920082e-04	1.241791844121e-03	1.185017252907e-02	1.150449079091e-01	1.139284382106e+00	1.154392321131e+01	1.201017030723e+02	1.287976781395e+03	1.429725761640e+04	1.649959523431e+05	1.988060601973e+06	2.510915285246e+07	3.335173696540e+08	4.670398630025e+09	6.905228147218e+10	1.078478953782e+12	1.778766477299e+13	3.095280542039e+14	5.675234996357e+15	1.094692534714e+17	2.217496647678e+18	4.708082964243e+19	1.045408479706e+21	2.421965978295e+22	5.840870454821e+23	1.463304983322e+25	3.803025239232e+26	1.024748999077e+28	2.863747058327e+29	8.307720520606e+30	2.504339835916e+32	7.847557295132e+33	2.554094501920e+35	8.613437578827e+36	2.998798361926e+38	1.072976477513e+40	3.927158336545e+41	1.464091398026e+43	5.540818341804e+44	2.123601282959e+46	8.233263915844e+47	3.229742367164e+49
9.000991000000e+00	2.556599735118e-43	2.375053048389e-42	2.207882236857e-41	2.053917843376e-40	1.912089310791e-39	1.781416554091e-38	1.661002274723e-37	1.550024952817e-36	1.447732459029e-35	1.353436233166e-34	1.266505981823e-33	1.186364851904e-32	1.112485041247e-31	1.044383811664e-30	9.816198735328e-30	9.237901148369e-29	8.705266511408e-28	8.214941766484e-27	7.763876002058e-26	7.349299540623e-25	6.968705675184e-24	6.619835024846e-23	6.300662537085e-22	6.009387233782e-21	5.744424884783e-20	5.504403903644e-19	5.288164905458e-18	5.094764560426e-17	4.923484639956e-16	4.773847514815e-15	4.645639872287e-14	4.538947138663e-13	4.454202127103e-12	4.392252936211e-11	4.354457346568e-10	4.342814288222e-09	4.360148002627e-08	4.410368308235e-07	4.498842571692e-06	4.632934396883e-05	4.822795480639e-04	5.082548921915e-03	5.432089372945e-02	5.899874677912e-01	6.527344704961e+00	7.376069539487e+01	8.539581377807e+02	1.016343748639e+04	1.248011109693e+05	1.587128896684e+06	2.098218515735e+07	2.893730198826e+08	4.175962633901e+09	6.320951638880e+10	1.005147583349e+12	1.680492735108e+13	2.954019100129e+14	5.456405770264e+15	1.057994392959e+17	2.150860621648e+18	4.578521333315e+19	1.019157439910e+21	2.368922891829e+22	5.740833062756e+23	1.447856744792e+25	3.792307082631e+26	1.029319648005e+28	2.889058571889e+29	8.371428205005e+30	2.501936981347e+32	7.712306601547e+33	2.454241281502e+35	8.075093988757e+36	2.751656467517e+38	9.721244340805e+39	3.560110809300e+41	1.349188549791e+43	5.274293569305e+44	2.117962290527e+46	8.696661734344e+47	3.635575556028e+49
