# mass_GeV	abs_rho_2_1_over_rhoeq_2_0	rho_2_1	rhoeq_2_0	T	alpha	tau_R
0.00000000e+00	1.40418497e-02	-5.61652025e+02	3.99984359e+04	2.02214080e+01	-2.39524273e-01	2.62069057e-01
1.11111111e-01	1.43856812e-02	-3.29134639e+02	2.28793225e+04	1.99709108e+01	-1.98980926e-01	2.68481968e-01
2.22222222e-01	1.43490604e-02	-3.30474561e+02	2.30310941e+04	1.96957948e+01	-1.54048999e-01	2.67880566e-01
3.33333333e-01	1.42987644e-02	-3.31475619e+02	2.31821163e+04	1.94156272e+01	-1.07569095e-01	2.67309584e-01
4.44444444e-01	1.42166641e-02	-3.31702329e+02	2.33319383e+04	1.91296781e+01	-5.93605748e-02	2.66772035e-01
5.55555556e-01	1.40782020e-02	-3.30543852e+02	2.34791241e+04	1.88362844e+01	-9.07993351e-03	2.66270725e-01
6.66666667e-01	1.38518511e-02	-3.27212989e+02	2.36223294e+04	1.85338002e+01	4.36390061e-02	2.65809004e-01
7.77777778e-01	1.34994922e-02	-3.20744009e+02	2.37597092e+04	1.82200453e+01	9.92807369e-02	2.65390561e-01
8.88888889e-01	1.29759904e-02	-3.09988565e+02	2.38893953e+04	1.78927113e+01	1.58392567e-01	2.65019807e-01
1.00000000e+00	1.22291452e-02	-2.93608810e+02	2.40089397e+04	1.75488224e+01	2.21688284e-01	2.64702007e-01
